TRANS DATE,TRANS VAT DESC,ORIGINAL GROSS AMT,ORIGINAL CUR,BILLING GROSS AMT,BILLING CUR CODE,MERCHANT NAME,CARD NUMBER,TRANS CAC CODE 1,TRANS CAC DESC 1,TRANS CAC CODE 2,TRANS CAC DESC 2,TRANS CAC CODE 3,Directorate
2017-01-03,VR,72.61,GBP,72.61,GBP,shell kings 587,************5770,K020,Vehicle Fuel,RV12N,African-Caribbean DC,A00,Adult & Communities
2017-01-24,VR,85.51,GBP,85.51,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-02-01,VR,10.09,GBP,10.09,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-01-04,VR,20.0,GBP,20.0,GBP,mibsons service st,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-01-05,VR,50.0,GBP,50.0,GBP,malthurst petroleu,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-01-17,VR,50.0,GBP,50.0,GBP,malthurst petroleu,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-01-20,VR,50.0,GBP,50.0,GBP,malthurst petroleu,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-02-02,VR,65.5,GBP,65.5,GBP,meridian service s,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-01-04,VR,45.12,GBP,45.12,GBP,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-01-10,VR,41.41,GBP,41.41,GBP,malthurst kings norton,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-01-10,VR,62.99,GBP,62.99,GBP,bp kensington f/stn,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-01-13,VR,64.25,GBP,64.25,GBP,rontec moseley,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-01-17,VR,66.22,GBP,66.22,GBP,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-01-24,VR,68.76,GBP,68.76,GBP,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-01-26,VR,89.44,GBP,89.44,GBP,malthurst waterlinks,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-02-01,VR,50.58,GBP,50.58,GBP,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-01-19,VR,71.31,GBP,71.31,GBP,shell kings 587,************6273,K020,Vehicle Fuel,RV12N,African-Caribbean DC,A00,Adult & Communities
2017-01-31,VR,60.96,GBP,60.96,GBP,penns lane sf connect,************6257,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
2017-01-31,VR,57.62,GBP,57.62,GBP,penns lane sf connect,************6257,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
2017-01-19,VR,56.8,GBP,56.8,GBP,tex sussex sstn,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-01-20,VR,72.07,GBP,72.07,GBP,tex city sstn,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-01-26,VR,48.83,GBP,48.83,GBP,tex city sstn,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-01-04,VR,98.0,GBP,98.0,GBP,esso merestones,************5134,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-01-23,VR,53.01,GBP,53.01,GBP,acocks green 224,************5134,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-01-06,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-01-12,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-01-12,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-02-02,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-01-05,VR,77.88,GBP,77.88,GBP,esso perry barr service s,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,Adult & Communities
2017-01-17,VR,77.81,GBP,77.81,GBP,tesco pfs 3953,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,Adult & Communities
2017-01-31,VR,34.57,GBP,34.57,GBP,esso perry barr service s,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,Adult & Communities
2017-01-31,VR,50.0,GBP,50.0,GBP,esso perry barr service s,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,Adult & Communities
2017-01-27,VZ,200.0,GBP,200.0,GBP,education  traini,************2086,L100,Equip Operational,RET1P,Ad Ed Edgbaston Area,A00,Adult & Communities
2017-01-26,VR,65.0,GBP,65.0,GBP,shell harborne,************8311,K020,Vehicle Fuel,RV1K3,Elders Group - Harborne,A00,Adult & Communities
2017-01-11,VR,71.62,GBP,71.62,GBP,midland link,************8061,K020,Vehicle Fuel,RV18M,Tyburn Road Centre,A00,Adult & Communities
2017-01-20,VR,57.39,GBP,57.39,GBP,midland link,************8061,K020,Vehicle Fuel,RV18M,Tyburn Road Centre,A00,Adult & Communities
2017-01-20,VR,0.7,GBP,0.7,GBP,malthurst petroleu,************8061,K020,Vehicle Fuel,RV18M,Tyburn Road Centre,A00,Adult & Communities
2017-01-26,VR,59.88,GBP,59.88,GBP,beeches road servi,************8061,K020,Vehicle Fuel,RV18M,Tyburn Road Centre,A00,Adult & Communities
2017-01-27,VR,49.18,GBP,49.18,GBP,malthurst petroleu,************8061,K020,Vehicle Fuel,RV18M,Tyburn Road Centre,A00,Adult & Communities
2017-01-05,VR,68.96,GBP,68.96,GBP,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
2017-01-12,VR,28.44,GBP,28.44,GBP,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
2017-01-19,VR,67.02,GBP,67.02,GBP,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
2017-01-11,VR,64.46,GBP,64.46,GBP,tex sussex sstn,************5440,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-02-02,VR,54.42,GBP,54.42,GBP,tex sussex sstn,************5440,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
