TRANS DATE,TRANS VAT DESC,ORIGINAL GROSS AMT,ORIGINAL CUR,BILLING GROSS AMT,BILLING CUR CODE,MERCHANT NAME,CARD NUMBER,TRANS CAC CODE 1,TRANS CAC DESC 1,TRANS CAC CODE 2,TRANS CAC DESC 2,TRANS CAC CODE 3,Directorate
2017-02-03,VR,82.55,GBP,82.55,GBP,shell kings 587,************5770,K020,Vehicle Fuel,RV12N,African-Caribbean DC,A00,Adult & Communities
2017-02-17,VR,71.53,GBP,71.53,GBP,shell kings 587,************5770,K020,Vehicle Fuel,RV12N,African-Caribbean DC,A00,Adult & Communities
2017-02-07,VR,73.52,GBP,73.52,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-02-21,VR,80.0,GBP,80.0,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-02-22,VR,81.83,GBP,81.83,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-03-01,VR,84.5,GBP,84.5,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-02-21,VR,50.0,GBP,50.0,GBP,meridian service s,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-02-09,VR,93.84,GBP,93.84,GBP,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-02-13,VR,81.75,GBP,81.75,GBP,rontec moseley,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-02-17,VR,98.6,GBP,98.6,GBP,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-02-28,VR,77.0,GBP,77.0,GBP,texaco ash motor,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-02-03,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-02-07,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-02-16,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-03-02,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-03-02,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-02-22,VR,57.24,GBP,57.24,GBP,malthurst limited,************5463,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult & Communities
2017-02-08,VR,85.13,GBP,85.13,GBP,tesco pfs 3953,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,Adult & Communities
2017-02-13,VR,67.5,GBP,67.5,GBP,esso perry barr service s,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,Adult & Communities
2017-02-16,VR,38.22,GBP,38.22,GBP,esso perry barr service s,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,Adult & Communities
2017-02-22,VR,16.93,GBP,16.93,GBP,esso perry barr service s,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,Adult & Communities
2017-03-01,VR,83.93,GBP,83.93,GBP,tesco pfs 3953,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,Adult & Communities
2017-02-07,VR,65.0,GBP,65.0,GBP,shell harborne,************8311,K020,Vehicle Fuel,RV1K3,Elders Group - Harborne,A00,Adult & Communities
2017-02-23,VR,65.0,GBP,65.0,GBP,shell harborne,************8311,K020,Vehicle Fuel,RV1K3,Elders Group - Harborne,A00,Adult & Communities
2017-02-08,VR,52.88,GBP,52.88,GBP,beeches road servi,************8061,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-02-08,VR,40.0,GBP,40.0,GBP,beeches road servi,************8061,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-02-10,VR,57.76,GBP,57.76,GBP,malthurst petroleu,************8061,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-02-14,VR,35.49,GBP,35.49,GBP,motor fuels ltd,************8061,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-02-21,VR,56.97,GBP,56.97,GBP,malthurst petroleu,************8061,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-02-08,VR,75.34,GBP,75.34,GBP,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
2017-02-08,VR,43.95,GBP,43.95,GBP,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
2017-02-10,VR,77.81,GBP,77.81,GBP,motor fuels ltd,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
2017-02-10,VR,41.68,GBP,41.68,GBP,motor fuels ltd,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
2017-02-24,VR,46.91,GBP,46.91,GBP,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
2017-02-24,VR,42.13,GBP,42.13,GBP,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
2017-02-16,VR,60.47,GBP,60.47,GBP,tex sussex sstn,************5440,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-02-23,VR,52.48,GBP,52.48,GBP,tex sussex sstn,************5440,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-02-02,VR,56.54,GBP,56.54,GBP,rontec weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-02-08,VR,64.86,GBP,64.86,GBP,rontec weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-02-14,VR,59.96,GBP,59.96,GBP,rontec weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-02-20,VR,50.35,GBP,50.35,GBP,rontec weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-02-24,VR,53.94,GBP,53.94,GBP,rontec weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-03-01,VR,43.58,GBP,43.58,GBP,rontec weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-02-07,VR,59.33,GBP,59.33,GBP,leaway s/stn,************4679,K020,Vehicle Fuel,RV1K7,Elders Sunday Grp,A00,Adult & Communities
2017-02-15,VR,69.12,GBP,69.12,GBP,leaway s/stn,************4679,K020,Vehicle Fuel,RV1K7,Elders Sunday Grp,A00,Adult & Communities
2017-02-28,VR,55.01,GBP,55.01,GBP,leaway s/stn,************4679,K020,Vehicle Fuel,RV1K7,Elders Sunday Grp,A00,Adult & Communities
2017-02-23,VR,64.02,GBP,64.02,GBP,malthurst limited,************5471,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult & Communities
2017-02-27,VR,81.11,GBP,81.11,GBP,malthurst limited,************5471,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult & Communities
2017-02-28,VR,63.72,GBP,63.72,GBP,malthurst limited,************5471,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult & Communities
2017-02-28,VR,51.21,GBP,51.21,GBP,malthurst limited,************5471,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult & Communities
2017-02-23,VR,7.22,GBP,7.22,GBP,fast key services limi,************4094,L120,Equip Other,RVL00,PSS Central Teams,A00,Adult & Communities
2017-02-27,VR,8.32,GBP,8.32,GBP,fast key services limi,************4094,L120,Equip Other,RV3NR,ResidentialRehabilitationAssessmentTeam,A00,Adult & Communities
2017-02-06,VR,68.02,GBP,68.02,GBP,rontec weoley castle,************1969,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-02-07,VR,64.4,GBP,64.4,GBP,rontec weoley castle,************1969,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-02-17,VR,78.63,GBP,78.63,GBP,rontec weoley castle,************1969,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-02-28,VR,49.04,GBP,49.04,GBP,rontec weoley castle,************1969,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-03-01,VR,82.0,GBP,82.0,GBP,rontec weoley castle,************1969,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-02-09,VR,75.47,GBP,75.47,GBP,leaway s/stn,************8055,K020,Vehicle Fuel,RV1K7,Elders Sunday Grp,A00,Adult & Communities
2017-02-20,VR,72.48,GBP,72.48,GBP,leaway s/stn,************8055,K020,Vehicle Fuel,RV1K7,Elders Sunday Grp,A00,Adult & Communities
2017-02-14,VR,69.81,GBP,69.81,GBP,rontec weoley castle,************8657,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-02-22,VR,67.02,GBP,67.02,GBP,rontec weoley castle,************8657,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult & Communities
2017-02-28,VR,99.03,GBP,99.03,GBP,millpool service s,************0788,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-02-08,VR,50.02,GBP,50.02,GBP,motor fuels ltd,************6299,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult & Communities
