TRANS DATE,TRANS VAT DESC,ORIGINAL GROSS AMT,ORIGINAL CUR,BILLING GROSS AMT,BILLING CUR CODE,MERCHANT NAME,CARD NUMBER,TRANS CAC CODE 1,TRANS CAC DESC 1,TRANS CAC CODE 2,TRANS CAC DESC 2,TRANS CAC CODE 3,Directorate
2017-03-21,VR,26.15,GBP,26.15,GBP,shell kings 587,************5770,K020,Vehicle Fuel,RV12N,African-Caribbean DC,A00,Adult & Communities
2017-03-23,VR,78.72,GBP,78.72,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-03-23,VR,68.0,GBP,68.0,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-03-21,VR,75.2,GBP,75.2,GBP,tesco pfs 4203,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-03-17,VR,15.0,GBP,15.0,GBP,the gate fuels ltd,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-03-15,VR,73.01,GBP,73.01,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-03-15,VR,79.0,GBP,79.0,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-03-08,VR,75.01,GBP,75.01,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-03-08,VR,70.78,GBP,70.78,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-03-24,VR,66.01,GBP,66.01,GBP,shell fiveways 387,************8738,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-03-24,VR,39.7,GBP,39.7,GBP,shell fiveways 387,************8738,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-03-24,VR,30.01,GBP,30.01,GBP,malthurst petroleu,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-03-23,VR,52.91,GBP,52.91,GBP,beeches road servi,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-03-20,VR,50.0,GBP,50.0,GBP,malthurst petroleu,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-03-16,VR,50.0,GBP,50.0,GBP,malthurst petroleu,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-03-15,VR,40.0,GBP,40.0,GBP,shell kingbury roa,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-03-08,VR,40.0,GBP,40.0,GBP,malthurst petroleu,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-03-07,VR,40.03,GBP,40.03,GBP,shell washwood,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-03-30,VR,75.53,GBP,75.53,GBP,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-03-23,VR,94.24,GBP,94.24,GBP,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-03-21,VR,39.86,GBP,39.86,GBP,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-03-16,VR,59.17,GBP,59.17,GBP,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-03-10,VR,60.28,GBP,60.28,GBP,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-03-07,VR,76.31,GBP,76.31,GBP,shell kings 587,************6273,K020,Vehicle Fuel,RV12N,African-Caribbean DC,A00,Adult & Communities
2017-03-31,VR,39.5,GBP,39.5,GBP,w m morrison plc,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-03-31,VR,37.0,GBP,37.0,GBP,w m morrison plc,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-03-29,VR,48.0,GBP,48.0,GBP,texaco ash motor,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-03-29,VR,61.0,GBP,61.0,GBP,texaco ash motor,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
