TRANS DATE,TRANS VAT DESC,ORIGINAL GROSS AMT,ORIGINAL CUR,BILLING GROSS AMT,BILLING CUR CODE,MERCHANT NAME,CARD NUMBER,TRANS CAC CODE 1,TRANS CAC DESC 1,TRANS CAC CODE 2,TRANS CAC DESC 2,TRANS CAC CODE 3,Directorate
2017-04-28,VR,66.38,GBP,66.38,GBP,millpool service s,************5770,K020,Vehicle Fuel,RV12N,African-Caribbean DC,A00,Adult & Communities
2017-04-28,VR,25.25,GBP,25.25,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-04-26,VR,81.75,GBP,81.75,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-04-07,VR,73.29,GBP,73.29,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-04-05,VR,75.7,GBP,75.7,GBP,shell fiveways 387,************1147,K020,Vehicle Fuel,RV1K2,Elders Group - Ladywood,A00,Adult & Communities
2017-04-25,VR,57.55,GBP,57.55,GBP,shell fiveways 387,************8738,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-04-20,VR,70.38,GBP,70.38,GBP,shell fiveways 387,************8738,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-04-06,VR,74.0,GBP,74.0,GBP,shell fiveways 387,************8738,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-04-26,VR,61.49,GBP,61.49,GBP,perry barr service,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-04-05,VR,60.01,GBP,60.01,GBP,malthurst petroleu,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,Adult & Communities
2017-04-20,VR,98.23,GBP,98.23,GBP,millpool service s,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-04-18,VR,61.97,GBP,61.97,GBP,malthurst waterlinks,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-04-04,VR,40.45,GBP,40.45,GBP,tesco pfs 2996,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult & Communities
2017-04-07,VR,66.18,GBP,66.18,GBP,shell kings 587,************6273,K020,Vehicle Fuel,RV12N,African-Caribbean DC,A00,Adult & Communities
2017-04-28,VR,25.93,GBP,25.93,GBP,texaco ash motor,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-04-28,VR,38.0,GBP,38.0,GBP,texaco ash motor,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-04-25,VR,63.81,GBP,63.81,GBP,texaco ash motor,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-04-19,VR,57.0,GBP,57.0,GBP,w m morrison plc,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-04-07,VR,65.62,GBP,65.62,GBP,w m morrison plc,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult & Communities
2017-04-27,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-04-20,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-04-20,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-04-11,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-04-07,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
2017-04-05,VZ,20.0,GBP,20.0,GBP,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult & Communities
